"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Transportation","EJ/yr",0.425916335,0.456399151,0.509835585,0.567135936,0.64406544,0.752828065,0.905986604,1.09840448,1.342874862,1.628177593,1.956546434,2.335644617,2.770592179,3.249264666,3.754181708,4.265695456,4.79475603
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Primary Energy|Coal","EJ/yr",0.123301539,0.142899124,0.170590741,0.247076321,0.400793958,0.619093744,0.911159143,1.270425943,1.700306933,2.192215848,2.749256573,3.358307773,4.035811853,4.778962192,5.547614622,6.343790271,6.933750897
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Industry","EJ/yr",0.77980802,0.893520135,1.100363834,1.359389657,1.692052382,2.101558668,2.624563448,3.208342728,3.875669455,4.592383108,5.35069434,6.112520104,6.8667431,7.583266826,8.237760577,8.801849258,9.242812393
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Secondary Energy|Electricity|Coal","EJ/yr",0.0216257,0.0274041,0.038544212,0.068781728,0.122231303,0.195946395,0.295301535,0.420957747,0.580594136,0.771151815,1.001532997,1.274004935,1.591457674,1.950261195,2.341835631,2.759681289,3.0602767
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Secondary Energy|Electricity|Gas","EJ/yr",0.02155377,0.0279551,0.045628499,0.082836564,0.13854154,0.221048666,0.340954757,0.49148434,0.691169047,0.941369786,1.252363228,1.634533641,2.082359891,2.576997167,3.10489782,3.60117672,3.93834682
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Primary Energy|Gas","EJ/yr",0.097626187,0.123173465,0.195794805,0.330479189,0.525232706,0.796545295,1.1693899,1.603105578,2.138450116,2.773315881,3.510249669,4.351524859,5.278963411,6.236616866,7.164736981,7.910228087,8.480902163
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Residential and Commercial","EJ/yr",1.84613767,1.891377133,1.96754128,2.050053959,2.08002816,2.14933507,2.296211112,2.535708452,2.89356969,3.335605968,3.85601026,4.42168845,5.019499239,5.614311459,6.169262732,6.641002874,7.112015884
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Secondary Energy|Electricity|Biomass","EJ/yr",0.000380156,0.000505418,0.001117356,0.002171822,0.00356943,0.005177086,0.007462918,0.011012202,0.017525284,0.027176613,0.041260258,0.059646983,0.082084366,0.10732728,0.13762062,0.17443044,0.21101109
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Industry|Non-ferrous metals","EJ/yr",0.051876045,0.06046317,0.071827749,0.084314496,0.097207476,0.109743726,0.122094622,0.133246394,0.143255527,0.152040073,0.159647612,0.165802607,0.170677221,0.174244187,0.176224637,0.1767271,0.175414819
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Transportation|Aviation|Passenger","EJ/yr",0.0350607,0.0400592,0.049792,0.062834214,0.084005389,0.11128521,0.149975912,0.197106085,0.254477132,0.321657437,0.403618893,0.501654711,0.619613068,0.755376719,0.90429506,1.05979204,1.226210419
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.182764302,0.24830235,0.335719615,0.46164736,0.629508476,0.860338608,1.183245739,1.590756565,2.102381017,2.709719735,3.397848173,4.1618075,4.96716809,5.78965572,6.63099198,7.48153991,8.084448
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Transportation|Rail","EJ/yr",0.002077968,0.002313309,0.00280953,0.003513138,0.004292699,0.00512214,0.006107136,0.007286993,0.008669028,0.010206035,0.012576748,0.015566687,0.019449128,0.022273862,0.025297758,0.028412762,0.032164612
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Final Energy|Transportation|Road|Passenger","EJ/yr",0.164728291,0.172198321,0.185618895,0.198082185,0.210275517,0.237469763,0.278946886,0.338997128,0.422152566,0.522112633,0.635003684,0.768989573,0.920446324,1.078313189,1.234849682,1.381399653,1.518576486
